ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc
940,b5_r2_n3_E2_X3c_1_3,0,83160.2,20000,0.0,190.42,1
916,b5_r2_n3_E2_X3b_1,0,83142.9,20000,0.0,190.42,1
944,b5_r2_n3_E2_X3c_1_5,0,83067.0,20000,0.0,190.41,1
196,b5_r1_n3_E2_X3b_1,0,71310.6,20000,0.0,163.4,1
224,b5_r1_n3_E2_X3c_1_5,0,70894.1,20000,0.0,162.22,1
220,b5_r1_n3_E2_X3c_1_3,0,70730.6,20000,0.0,162.05,1
1004,b5_r2_n4_E1_X3c_1_5,0,61610.1,17702,0.0,140.54,1
1000,b5_r2_n4_E1_X3c_1_3,0,61501.7,17690,0.0,140.26,1
976,b5_r2_n4_E1_X3b_1,0,61344.1,17642,0.0,139.62,1
1064,b5_r2_n4_E2_X3c_1_5,0,61094.9,10510,0.0,139.77,1
1060,b5_r2_n4_E2_X3c_1_3,0,61067.9,10506,0.0,139.54,1
1036,b5_r2_n4_E2_X3b_1,0,60947.2,10483,0.0,139.41,1
136,b5_r1_n3_E1_X3b_1,0,59706.6,20000,0.0,136.19,1
164,b5_r1_n3_E1_X3c_1_5,0,59426.4,20000,0.0,135.68,1
160,b5_r1_n3_E1_X3c_1_3,0,59349.0,20000,0.0,135.68,1
1720,b5_r3_n4_E1_X3c_1_3,0,58656.1,20000,0.0,133.29,1
1724,b5_r3_n4_E1_X3c_1_5,0,58654.7,20000,0.0,133.01,1
1696,b5_r3_n4_E1_X3b_1,0,58398.5,20000,0.0,132.7,1
344,b5_r1_n4_E2_X3c_1_5,0,53328.1,9025,0.0,121.83,1
340,b5_r1_n4_E2_X3c_1_3,0,53289.1,9019,0.0,121.83,1
316,b5_r1_n4_E2_X3b_1,0,53223.3,8996,0.0,121.56,1
284,b5_r1_n4_E1_X3c_1_5,0,52708.7,9354,0.0,120.41,1
256,b5_r1_n4_E1_X3b_1,0,52647.7,9315,0.0,120.14,1
280,b5_r1_n4_E1_X3c_1_3,0,52632.8,9347,0.0,119.97,1
824,b5_r2_n2_E2_X3c_1_5,0,52200.7,20000,0.0,118.44,1
820,b5_r2_n2_E2_X3c_1_3,0,51971.2,20000,0.0,117.74,1
1544,b5_r3_n2_E2_X3c_1_5,0,51970.4,19165,0.0,117.15,1
1664,b5_r3_n3_E2_X3c_1_5,0,51970.4,19165,0.0,117.15,1
1540,b5_r3_n2_E2_X3c_1_3,0,51891.3,19145,0.0,116.96,1
1660,b5_r3_n3_E2_X3c_1_3,0,51891.3,19145,0.0,116.96,1
796,b5_r2_n2_E2_X3b_1,0,51571.6,20000,0.0,116.82,1
1636,b5_r3_n3_E2_X3b_1,0,51510.0,19122,0.0,115.89,1
1516,b5_r3_n2_E2_X3b_1,0,51510.0,19122,0.0,115.89,1
1844,b5_r3_n5_E1_X3c_1_5,0,51116.2,13284,0.0,115.92,1
1840,b5_r3_n5_E1_X3c_1_3,0,50997.2,13275,0.0,115.77,1
1816,b5_r3_n5_E1_X3b_1,0,50910.9,13264,0.0,115.81,1
1784,b5_r3_n4_E2_X3c_1_5,0,50481.9,12624,0.0,114.28,1
1780,b5_r3_n4_E2_X3c_1_3,0,50453.9,12615,0.0,114.18,1
1756,b5_r3_n4_E2_X3b_1,0,50267.6,12605,0.0,113.77,1
1124,b5_r2_n5_E1_X3c_1_5,0,41285.6,7502,0.0,93.67,1
1120,b5_r2_n5_E1_X3c_1_3,0,41231.6,7496,0.0,93.53,1
1096,b5_r2_n5_E1_X3b_1,0,41165.6,7486,0.0,93.35,1
1184,b5_r2_n5_E2_X3c_1_5,0,40951.6,5242,0.0,93.17,1
1180,b5_r2_n5_E2_X3c_1_3,0,40938.1,5237,0.0,93.23,1
1156,b5_r2_n5_E2_X3b_1,0,40831.7,5230,0.0,93.02,1
1904,b5_r3_n5_E2_X3c_1_5,0,40174.9,7876,0.0,90.57,1
1900,b5_r3_n5_E2_X3c_1_3,0,40132.8,7871,0.0,90.57,1
1876,b5_r3_n5_E2_X3b_1,0,40110.0,7868,0.0,90.46,1
