ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1064,b5_r2_n4_E2_X3c_1_5,0,61094.9,10510,0.0,139.77,1,43770.9,7008,102.58,1
1060,b5_r2_n4_E2_X3c_1_3,0,61067.9,10506,0.0,139.54,1,43709.1,7002,102.44,1
1036,b5_r2_n4_E2_X3b_1,0,60947.2,10483,0.0,139.41,1,43584.2,6986,102.14,1
344,b5_r1_n4_E2_X3c_1_5,0,53328.1,9025,0.0,121.83,1,38316.4,6315,89.8,1
340,b5_r1_n4_E2_X3c_1_3,0,53289.1,9019,0.0,121.83,1,38268.2,6311,89.69,1
316,b5_r1_n4_E2_X3b_1,0,53223.3,8996,0.0,121.56,1,38152.7,6296,89.41,1
284,b5_r1_n4_E1_X3c_1_5,0,52708.7,9354,0.0,120.41,1,37858.5,6548,88.73,1
280,b5_r1_n4_E1_X3c_1_3,0,52632.8,9347,0.0,119.97,1,37773.9,6545,88.53,1
256,b5_r1_n4_E1_X3b_1,0,52647.7,9315,0.0,120.14,1,37721.6,6526,88.4,1
1784,b5_r3_n4_E2_X3c_1_5,0,50481.9,12624,0.0,114.28,1,33959.2,7376,79.59,1
1780,b5_r3_n4_E2_X3c_1_3,0,50453.9,12615,0.0,114.18,1,33921.6,7385,79.5,1
1756,b5_r3_n4_E2_X3b_1,0,50267.6,12605,0.0,113.77,1,33762.3,7395,79.13,1
1844,b5_r3_n5_E1_X3c_1_5,0,51116.2,13284,0.0,115.92,1,30890.8,6716,72.4,1
1840,b5_r3_n5_E1_X3c_1_3,0,50997.2,13275,0.0,115.77,1,30851.4,6725,72.3,1
1816,b5_r3_n5_E1_X3b_1,0,50910.9,13264,0.0,115.81,1,30689.3,6736,71.92,1
2264,b10_r1_n2_E2_X3c_1_5,0,39753.0,9908,0.0,89.23,1,28250.5,7110,66.21,1
2260,b10_r1_n2_E2_X3c_1_3,0,39486.9,9873,0.0,88.89,1,27832.3,7083,65.23,1
1904,b5_r3_n5_E2_X3c_1_5,0,40174.9,7876,0.0,90.57,1,27315.6,4979,64.02,1
1900,b5_r3_n5_E2_X3c_1_3,0,40132.8,7871,0.0,90.57,1,27258.0,4978,63.88,1
1876,b5_r3_n5_E2_X3b_1,0,40110.0,7868,0.0,90.46,1,27120.3,4974,63.56,1
2236,b10_r1_n2_E2_X3b_1,0,38128.1,9517,0.0,85.31,1,26975.3,6864,63.22,1
1124,b5_r2_n5_E1_X3c_1_5,0,41285.6,7502,0.0,93.67,1,26885.5,4710,63.01,1
1096,b5_r2_n5_E1_X3b_1,0,41165.6,7486,0.0,93.35,1,26846.7,4708,62.92,1
1120,b5_r2_n5_E1_X3c_1_3,0,41231.6,7496,0.0,93.53,1,26838.9,4710,62.9,1
1184,b5_r2_n5_E2_X3c_1_5,0,40951.6,5242,0.0,93.17,1,26676.2,3297,62.52,1
1156,b5_r2_n5_E2_X3b_1,0,40831.7,5230,0.0,93.02,1,26667.9,3296,62.5,1
1180,b5_r2_n5_E2_X3c_1_3,0,40938.1,5237,0.0,93.23,1,26652.9,3296,62.46,1
1964,b5_r3_n6_E1_X3c_1_5,0,38427.0,8046,0.0,86.94,1,26278.9,5166,61.59,1
1960,b5_r3_n6_E1_X3c_1_3,0,38348.8,8040,0.0,86.68,1,26203.4,5164,61.41,1
1936,b5_r3_n6_E1_X3b_1,0,38343.0,8038,0.0,86.67,1,26093.0,5160,61.15,1
376,b5_r1_n5_E1_X3b_1,0,34448.5,4196,0.0,78.12,1,23142.1,2769,54.24,1
436,b5_r1_n5_E2_X3b_1,0,34590.1,4112,0.0,78.45,1,23091.5,2738,54.12,1
404,b5_r1_n5_E1_X3c_1_5,0,34469.4,4207,0.0,78.14,1,23077.3,2769,54.08,1
464,b5_r1_n5_E2_X3c_1_5,0,34620.4,4122,0.0,78.47,1,23056.8,2738,54.04,1
400,b5_r1_n5_E1_X3c_1_3,0,34371.1,4203,0.0,77.97,1,23049.5,2769,54.02,1
460,b5_r1_n5_E2_X3c_1_3,0,34544.2,4118,0.0,78.29,1,23030.1,2738,53.97,1
