ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,45616.9,20000,0.0,1445.1,72.67,1
2576,atr20_m0p5_r3_n3_E1_X3b_1,45615.7,20000,0.0,1447.5,72.67,1
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,45600.1,20000,0.0,1450.2,72.66,1
1376,atr14_m0p5_r3_n3_E1_X3b_1,44759.2,20000,0.0,1407.2,71.29,1
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,44747.8,20000,0.0,1325.9,71.26,1
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,44708.9,20000,0.0,1323.6,71.19,1
180,atr7_m0p5_r3_n3_E1_X3c_1_5,41062.7,19633,0.0,1248.8,65.12,1
182,atr7_m0p5_r3_n3_E1_X3c_1_3,41059.6,19633,0.0,1252.8,65.12,1
176,atr7_m0p5_r3_n3_E1_X3b_1,41055.2,19633,0.0,1252.8,65.12,1
2496,atr20_m0p5_r2_n3_E1_X3b_1,40669.9,20000,0.0,1315.3,64.58,1
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,40638.1,20000,0.0,1272.7,64.51,1
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,40595.1,20000,0.0,1253.8,64.45,1
1296,atr14_m0p5_r2_n3_E1_X3b_1,38042.1,20000,0.0,1220.5,60.47,1
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,37996.2,20000,0.0,1231.4,60.42,1
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,37910.0,20000,0.0,1170.5,60.18,1
96,atr7_m0p5_r2_n3_E1_X3b_1,37098.9,20000,0.0,1291.4,58.9,1
100,atr7_m0p5_r2_n3_E1_X3c_1_5,37065.6,20000,0.0,1232.5,58.89,1
102,atr7_m0p5_r2_n3_E1_X3c_1_3,36963.2,20000,0.0,1215.3,58.59,1
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,34890.3,11619,0.0,1326.0,55.39,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,34889.1,11619,0.0,1327.0,55.39,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,34867.5,11619,0.0,1333.6,55.36,1
2416,atr20_m0p5_r1_n3_E1_X3b_1,33582.1,20000,0.0,1213.7,53.12,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,33512.4,11469,0.0,1217.3,53.07,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,33504.8,11469,0.0,1228.0,53.06,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,33539.5,11468,0.0,1206.2,53.04,1
2420,atr20_m0p5_r1_n3_E1_X3c_1_5,33437.1,20000,0.0,1195.2,52.92,1
2422,atr20_m0p5_r1_n3_E1_X3c_1_3,33179.0,20000,0.0,1197.1,52.58,1
1364,atr14_m0p5_r3_n2_E1_X3c_1_5,31266.1,20000,0.0,1134.3,49.42,1
1360,atr14_m0p5_r3_n2_E1_X3b_1,31253.5,20000,0.0,1123.5,49.4,1
1366,atr14_m0p5_r3_n2_E1_X3c_1_3,31233.0,20000,0.0,1119.7,49.36,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,31038.7,8469,0.0,1165.2,49.17,1
