ci,name,is_pnl,is_ntrd,c0,c1,c2
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,45616.9,20000,5675.2,22137.8,17803.9
2576,atr20_m0p5_r3_n3_E1_X3b_1,45615.7,20000,5674.1,22138.5,17803.1
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,45600.1,20000,5670.6,22142.6,17786.9
1376,atr14_m0p5_r3_n3_E1_X3b_1,44759.2,20000,5493.0,20731.8,18534.4
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,44747.8,20000,5496.6,20734.4,18516.8
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,44708.9,20000,5497.1,20718.7,18493.0
180,atr7_m0p5_r3_n3_E1_X3c_1_5,41062.7,19633,4891.4,19014.9,17156.3
182,atr7_m0p5_r3_n3_E1_X3c_1_3,41059.6,19633,4886.7,19017.4,17155.5
176,atr7_m0p5_r3_n3_E1_X3b_1,41055.2,19633,4886.8,19013.8,17154.6
2496,atr20_m0p5_r2_n3_E1_X3b_1,40669.9,20000,5421.0,21161.7,14087.2
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,40638.1,20000,5410.4,21158.0,14069.7
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,40595.1,20000,5396.5,21111.9,14086.7
1296,atr14_m0p5_r2_n3_E1_X3b_1,38042.1,20000,5111.9,19167.9,13762.3
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,37996.2,20000,5101.9,19169.5,13724.8
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,37910.0,20000,5081.4,19146.6,13682.0
96,atr7_m0p5_r2_n3_E1_X3b_1,37098.9,20000,4551.1,18266.0,14281.9
100,atr7_m0p5_r2_n3_E1_X3c_1_5,37065.6,20000,4551.3,18245.9,14268.4
102,atr7_m0p5_r2_n3_E1_X3c_1_3,36963.2,20000,4543.3,18163.2,14256.7
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,34890.3,11619,4515.5,16092.4,14282.4
2592,atr20_m0p5_r3_n4_E1_X3b_1,34889.1,11619,4514.5,16093.1,14281.6
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,34867.5,11619,4510.9,16091.1,14265.4
2416,atr20_m0p5_r1_n3_E1_X3b_1,33582.1,20000,5580.3,22816.5,5185.3
1392,atr14_m0p5_r3_n4_E1_X3b_1,33539.5,11468,4322.6,15214.9,14001.9
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,33512.4,11469,4322.6,15214.9,13974.9
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,33504.8,11469,4326.8,15217.4,13960.7
2420,atr20_m0p5_r1_n3_E1_X3c_1_5,33437.1,20000,5571.2,22735.1,5130.8
2422,atr20_m0p5_r1_n3_E1_X3c_1_3,33179.0,20000,5491.9,22639.0,5048.1
1364,atr14_m0p5_r3_n2_E1_X3c_1_5,31266.1,20000,5495.9,25695.6,74.6
1360,atr14_m0p5_r3_n2_E1_X3b_1,31253.5,20000,5492.0,25687.0,74.6
1366,atr14_m0p5_r3_n2_E1_X3c_1_3,31233.0,20000,5486.7,25671.7,74.6
2432,atr20_m0p5_r1_n4_E1_X3b_1,31038.7,8469,4138.8,13645.6,13254.3
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,30969.2,8469,4088.8,13636.0,13244.3
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,30826.5,8469,4065.2,13605.1,13156.3
1220,atr14_m0p5_r1_n3_E1_X3c_1_5,30357.7,20000,5014.1,20651.7,4691.9
1216,atr14_m0p5_r1_n3_E1_X3b_1,30345.7,20000,5025.0,20566.1,4754.5
1222,atr14_m0p5_r1_n3_E1_X3c_1_3,30117.3,20000,4935.5,20529.5,4652.3
198,atr7_m0p5_r3_n4_E1_X3c_1_3,30060.9,11090,3971.6,13684.2,12405.1
192,atr7_m0p5_r3_n4_E1_X3b_1,30059.4,11090,3971.2,13684.2,12404.1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,30058.6,11090,3971.2,13681.7,12405.8
2512,atr20_m0p5_r2_n4_E1_X3b_1,28990.3,7740,3984.8,12646.8,12358.6
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,28964.9,7742,3978.0,12648.9,12338.0
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,28946.0,7743,3965.6,12635.2,12345.2
1232,atr14_m0p5_r1_n4_E1_X3b_1,28761.8,7884,3756.0,12620.9,12384.9
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,28689.3,7885,3730.3,12608.2,12350.8
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,28633.0,7885,3713.5,12605.4,12314.1
166,atr7_m0p5_r3_n2_E1_X3c_1_3,28170.1,20000,4583.9,22809.9,776.3
164,atr7_m0p5_r3_n2_E1_X3c_1_5,28164.1,20000,4588.7,22799.2,776.3
160,atr7_m0p5_r3_n2_E1_X3b_1,28137.7,20000,4582.6,22778.9,776.3
20,atr7_m0p5_r1_n3_E1_X3c_1_5,27669.9,20000,4440.9,18816.3,4412.7
16,atr7_m0p5_r1_n3_E1_X3b_1,27661.7,20000,4469.3,18800.3,4392.0
22,atr7_m0p5_r1_n3_E1_X3c_1_3,27440.9,20000,4360.7,18756.8,4323.5
1312,atr14_m0p5_r2_n4_E1_X3b_1,27137.7,7331,3704.7,11682.9,11750.1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,27104.0,7331,3704.3,11666.9,11732.8
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,27053.0,7333,3698.9,11666.3,11687.8
32,atr7_m0p5_r1_n4_E1_X3b_1,24485.7,6996,3255.9,10948.2,10281.6
36,atr7_m0p5_r1_n4_E1_X3c_1_5,24378.1,6996,3210.5,10931.0,10236.6
38,atr7_m0p5_r1_n4_E1_X3c_1_3,24296.9,6996,3197.8,10933.7,10165.3
2608,atr20_m0p5_r3_n5_E1_X3b_1,23925.9,6031,3346.2,10501.6,10078.1
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,23925.2,6031,3346.2,10500.9,10078.1
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,23924.0,6031,3346.2,10499.7,10078.1
116,atr7_m0p5_r2_n4_E1_X3c_1_5,23655.2,6642,3331.3,10419.7,9904.2
118,atr7_m0p5_r2_n4_E1_X3c_1_3,23653.1,6642,3326.9,10407.4,9918.8
112,atr7_m0p5_r2_n4_E1_X3b_1,23646.5,6642,3331.1,10412.4,9903.1
1408,atr14_m0p5_r3_n5_E1_X3b_1,23385.3,6027,3252.4,9945.9,10187.0
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,23358.2,6028,3252.4,9945.9,10160.0
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,23347.8,6028,3252.4,9942.7,10152.8
214,atr7_m0p5_r3_n5_E1_X3c_1_3,21083.2,5810,3003.4,9007.1,9072.7
212,atr7_m0p5_r3_n5_E1_X3c_1_5,21080.9,5810,3003.4,9007.1,9070.4
208,atr7_m0p5_r3_n5_E1_X3b_1,21079.2,5810,3003.4,9007.1,9068.7
2448,atr20_m0p5_r1_n5_E1_X3b_1,18370.3,2778,2367.4,7946.8,8056.1
2452,atr20_m0p5_r1_n5_E1_X3c_1_5,18348.4,2778,2358.9,7944.3,8045.3
2454,atr20_m0p5_r1_n5_E1_X3c_1_3,18300.1,2778,2351.7,7950.3,7998.1
2528,atr20_m0p5_r2_n5_E1_X3b_1,17735.8,2776,2567.2,7546.5,7622.1
2532,atr20_m0p5_r2_n5_E1_X3c_1_5,17730.8,2776,2562.5,7546.3,7622.1
2534,atr20_m0p5_r2_n5_E1_X3c_1_3,17723.7,2776,2553.7,7548.8,7621.2
1334,atr14_m0p5_r2_n5_E1_X3c_1_3,16558.8,2593,2396.6,6933.4,7228.8
1332,atr14_m0p5_r2_n5_E1_X3c_1_5,16546.9,2593,2399.1,6920.0,7227.8
